Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
5/11/1900,1,Japan,38.7,141.1,5,7.0 MJ,,,,,,
5/28/1903,2,Turkey,40.9,42.7,,5.8 UK,,,,1000,,
7/12/1900,3,Turkey,40.3,43.1,,5.9 UK,,,,140,,
7/3/1902,4,China,43.2,129.6,20,6.7 MS,,,,,,
8/11/1903,5,Greece,36.36,22.97,80,8.3 UK,,,,2,,
8/22/1902,6,China,40,77,0,7.7 MW,,,,5650,,
9/19/1902,7,Australia,-35,138,2,6.0 ML,,,,2,,
9/25/1903,8,Iran,35.2,58.2,,6.5 UK,,,,200,,
9/8/1905,9,Italy (see1905 Calabria earthquake),39,16,0,6.8 MS,T,,,557,2500,
11/8/1905,10,Greece,40,24,0,6.8 MS,,,,,,
1/31/1906,11,Ecuador (see1906 Ecuador-Colombia earthquake),1,-81.5,0,8.8 UK,T,,,1000,400,
3/16/1906,12,Taiwan (see1906 Meishan earthquake),23.6,120.4,5,6.8 MS,,,,1258,,
4/13/1906,13,Taiwan,23.6,120.4,5,7.1 MJ,,,,15,,
4/18/1906,14,United States(see 1906 San Francisco earthquake),38,-123,0,7.8 UK,F,,,700,2000,
8/17/1906,15,Chile (see1906 Valparaíso earthquake),-33,-72,0,8.2 UK,T,,,3760,20000,
12/22/1906,16,China,43.5,85,0,7.2 MW,,,,285,,
1/4/1907,17,Indonesia,2,94.5,50,7.5 MW,T,,,400,,
1/14/1907,18,Jamaica (see1907 Kingston earthquake),18.2,-76.7,,6.5 UK,T,,,1000,,
4/15/1907,19,Mexico,17,-100,0,7.9 MW,T,,,28,,
4/18/1907,20,Philippines,14,123,0,7.1 MW,,,,2,,
10/21/1907,21,Tajikistan(see 1907 Qaratog earthquake),38,69,0,7.2 MW,,,,15000,12000,
1/11/1908,22,Taiwan,23,121.1,5,6.8 MS,,,,2,,
12/28/1908,23,Italy (see1908 Messina earthquake),38,15.5,0,7.2 MS,T,,,82000,75000,
1/19/1909,24,Turkey,38.6,26.9,,5.8 UK,,,,8,,
1/23/1909,25,Iran (see1909 Silakhor earthquake),33,50,,7.3 UK,,,,,,8000+
2/9/1909,26,Turkey,40,38,60,6.8 UK,,,,,,
4/14/1909,27,Taiwan,25,122.5,5,7.1 mb,,,,9,,
4/23/1909,28,Portugal,38.9,-8.8,,6.6 UK,,,,30,,
5/11/1909,29,China,24.4,103,,6.5 UK,,,,19,,
6/3/1909,30,Indonesia,-2,101,0,7.2 MW,T,,,200,,
